@Ordspråk|Vad är
Potsdamkonferensen|Vid denna konferens nära Berlin sommaren 1945 möttes Truman, Stalin och först Churchill, sedan Attlee, för att diskutera det besegrade Tyskland.
VE-dagen|Den 8 maj 1945 firades Nazitysklands kapitulation och krigsslutet i Europa med detta namn i de allierade länderna.
VJ-dagen|Japans kapitulation 1945 och slutet på kriget i Stilla havet förknippas med denna förkortning för seger över Japan.
Manhattanprojektet|Detta hemliga amerikanskledda forskningsprogram utvecklade de första kärnvapnen under andra världskriget.
Operation Market Garden|Detta kodnamn användes för de allierades försök att erövra nederländska broar genom luftlandsättningar och en markoffensiv i september 1944.
slaget vid Kursk|I detta slag på östfronten sommaren 1943 stoppades den tyska offensiven i en stor kraftmätning mellan pansarstyrkor.
belägringen av Leningrad|Denna nästan 900 dagar långa belägring drabbade staden som i dag heter Sankt Petersburg med svält och bombardemang.
Operation Torch|Detta kodnamn användes för de allierades landstigningar i Marocko och Algeriet i november 1942.
dödsmarschen från Bataan|Detta namn används för den brutala tvångsförflyttningen av amerikanska och filippinska krigsfångar efter kapitulationen på en filippinsk halvö i april 1942.
Wannseekonferensen|Vid detta möte i januari 1942 samordnade nazistiska tjänstemän genomförandet av Europas judars deportation och förintelse. Mötet hölls i en villa utanför Berlin.
Operation Overlord|Detta var kodnamnet för den allierade invasionen av Normandie och den övergripande kampanjen som började i juni 1944.
Ardenneroffensiven|Denna tyska offensiv genom Belgien och Luxemburg vintern 1944–1945 skapade en stor utbuktning i de allierades västfront och förknippas med belägringen av Bastogne.
Enigma|Tysk militär använde denna chiffermaskin för krypterad kommunikation som de allierade arbetade intensivt med att knäcka.
Nürnbergrättegångarna|Vid dessa rättegångar efter andra världskriget ställdes ledande nazister inför en internationell militärdomstol i en tysk stad för bland annat krigsförbrytelser.

@Första världskriget|Vad är
skotten i Sarajevo|Vid detta attentat i juni 1914 mördades ärkehertig Franz Ferdinand och hans hustru Sophie. Händelsen utlöste den kris som ledde till världskrig.
skyttegravskrig|Denna typ av krigföring präglas av långa nedgrävda försvarslinjer där arméer kan stå mot varandra länge utan stora förflyttningar.
slaget vid Verdun|I detta slag 1916 utkämpade Frankrike och Tyskland en lång och blodig strid kring en befäst stad vid floden Meuse.
slaget vid Somme|I detta slag i norra Frankrike 1916 led de allierade enorma förluster. Här användes stridsvagnar i strid för första gången.
vapenstilleståndet den 11 november|Detta avtal fick striderna på västfronten att upphöra klockan elva 1918, på den elfte dagen i den elfte månaden.
Lusitania|Detta brittiska passagerarfartyg sänktes av en tysk ubåt utanför Irland 1915. Många civila, även amerikaner, omkom.
Gallipolifälttåget|Under detta misslyckade fälttåg 1915 försökte de allierade nå Dardanellerna genom landstigningar på en turkisk halvö.
slaget vid Tannenberg|I detta slag i Ostpreussen i augusti 1914 omringade och besegrade tyska styrkor den ryska andra armén under Aleksandr Samsonov.
senapsgas|Detta kemiska stridsmedel gav svåra brännskador och skador på ögon och lungor och användes i stor skala från 1917.
ingenmansland|Detta område mellan motståndarnas skyttegravar var ofta sönderskjutet, fyllt av taggtråd och livsfarligt att korsa.
Schlieffenplanen|Denna tyska förkrigsplan byggde på att snabbt besegra Frankrike genom en framryckning via Belgien innan huvuddelen av styrkorna vändes österut.
julfreden 1914|Denna spontana och inofficiella vapenvila uppstod på delar av västfronten i december 1914. Soldater möttes, sjöng och bytte gåvor; på vissa platser förekom även fotboll.
Zimmermanntelegrammet|I detta diplomatiska meddelande 1917 föreslog Tyskland en allians med Mexiko mot USA. Britterna avlyssnade det och offentliggörandet väckte stark amerikansk opinion.
Brest-Litovskfreden|Det revolutionära Ryssland lämnade kriget genom detta hårda fredsavtal med centralmakterna i mars 1918.
andra slaget vid Ypres|Under denna strid 1915 genomförde Tyskland ett stort klorgasanfall på västfronten.
Passchendaele|Denna belgiska by gav sitt namn åt det tredje slaget vid Ypres 1917, känt för djup lera, ihållande regn och mycket stora förluster.
Brusilovoffensiven|Denna ryska offensiv 1916 mot Österrike-Ungern har namn efter befälhavaren som ledde den och blev en av tsararméns största framgångar.
det oinskränkta ubåtskriget|Tyskland återupptog 1917 denna strategi där ubåtar angrep handelssjöfart utan vanliga varningsregler.
slaget vid Jylland|I detta sjöslag i Nordsjön 1916 möttes brittiska Grand Fleet och tyska Högsjöflottan i krigets största kraftmätning mellan slagskepp.
de fjorton punkterna|USA:s president Woodrow Wilson presenterade 1918 detta program för en fredsordning byggd på bland annat självbestämmande.
Hundradagarsoffensiven|Detta samlingsnamn används för de allierades framgångsrika anfall från augusti 1918 fram till vapenstilleståndet i november.
Meuse-Argonne-offensiven|Denna amerikanskledda offensiv i nordöstra Frankrike började i september 1918 och har namn efter en flod och ett skogsområde.
Caporetto|Denna ort, numera Kobarid i Slovenien, gav namn åt slaget där Italiens armé led ett katastrofalt nederlag mot centralmakterna hösten 1917.
Hindenburglinjen|Tyskland byggde denna starka försvarsställning på västfronten och drog sig tillbaka till den under 1917.
[VEM]Foch|År 1918 blev han som fransk marskalk de allierades högste samordnande befälhavare på västfronten.

@Hästar|Vad är
en ponny|En mindre hästtyp som i många tävlingssammanhang definieras genom en mankhöjd på högst omkring 148 centimeter.
en hingst|En vuxen okastrerad hanhäst kallas med detta ord inom hästhållning och avel.
ett sto|En vuxen honhäst benämns så, särskilt när man talar om avel och föl.
ett föl|En ung häst under sitt första levnadsår kallas vanligen med detta ord.
en valack|En kastrerad hanhäst får denna benämning och används ofta som rid- eller körhäst.
fullblod|Denna hästtyp har avlats för snabbhet och förknippas särskilt med galoppsport.
ardenner|Den kraftiga kallblodsrasen utvecklades i ett kuperat gränsområde i Västeuropa och har länge använts för tungt dragarbete.
islandshäst|Rasen är liten men stark och är känd för extra gångarter som tölt och passgång.
frieser|Den nederländska hästrasen är nästan alltid svart och känns igen på kraftig man, svans och hovskägg.
arabiskt fullblod|Denna gamla, uthålliga hästras känns ofta igen på ett ädelt huvud med konkav nosprofil och hög svansföring.
tölt|Denna fyrtaktiga gångart är särskilt förknippad med islandshästen och kan vara bekväm för ryttaren.
trav|I denna tvåtaktiga gångart rör sig diagonala benpar samtidigt och den används i en stor tävlingssport.
galopp|Detta är hästens snabbaste naturliga gångart och innehåller en svävningsfas då inget ben är i marken.
mankhöjd|Hästens storlek mäts normalt från marken upp till den högsta punkten på manken och anges med detta mått.
hovslagare|Yrkespersonen verkar hästens hovar och kan sko dem för att skydda och balansera belastningen.
martingal|Denna remutrustning används i vissa discipliner för att begränsa hur högt hästen kan lyfta huvudet.
kapson|Detta träningsredskap sitter runt hästens nos och används bland annat vid longering och arbete från marken.
spatt|Denna ledsjukdom i hasen kan ge hälta och är särskilt förknippad med förändringar i de små haslederna.
kolik|Buksmärta hos häst samlas under detta allmänna namn och kan ha många olika orsaker.
stråle|På hovens undersida finns denna mjukare V-formade struktur som bidrar till stötdämpning och cirkulation.
piaff|I klassisk dressyr är detta en mycket samlad travliknande rörelse som utförs nästan på stället.
passage|Denna hög, elastisk och mycket samlad travrörelse visas i de högsta dressyrklasserna.
levad|I klassisk ridkonst innebär denna rörelse att hästen sänker bakdelen kraftigt och lyfter framdelen från marken.
remont|En ung häst som befinner sig i sin grundutbildning kan benämnas med detta traditionella uttryck.
courbette|I klassisk ridkonst innebär denna avancerade rörelse att hästen balanserar på bakbenen och gör språng framåt utan att sätta ned frambenen mellan sprången.

@Hundar|Vad är
labrador retriever|Denna populära apporterande hundras är ofta vänlig, matglad och används även som ledar- och assistanshund.
tysk schäferhund|Rasen är stor, arbetsvillig och vanlig inom polis- och tjänstehundsarbete över hela världen.
golden retriever|Denna långhåriga apporterande ras har gyllene päls och är känd som en social familjehund.
tax|Den långa kroppen och de mycket korta benen avlades fram för jakt i gryt, bland annat på grävling.
pudel|Rasen finns i flera storlekar, har lockig päls och räknas som mycket intelligent och lättlärd.
shiba inu|Den japanska spetsrasen är kompakt, självständig och känns ofta igen på upprättstående öron och ringlad svans.
siberian husky|Rasen utvecklades som slädhund i kalla klimat och har ofta tjock dubbelpäls och stor uthållighet.
chihuahua|Denna mexikanska ras räknas till världens minsta hundraser och har ofta mycket stora öron i förhållande till huvudet.
papillon|Den lilla sällskapshunden har stora fransiga öron som gett rasen ett namn som betyder fjäril på franska.
dalmatiner|Den vita pälsen med tydliga svarta eller leverbruna fläckar gör denna ras lätt att känna igen.
rottweiler|En kraftig tysk brukshund som historiskt användes för boskap och vagnsdragning och i dag ofta tränas som tjänstehund.
jack russell terrier|Denna energiska lilla terrier avlades för rävjakt och är känd för mod och stark jaktlust.
greyhound|Denna mycket snabbfotade vinthund har djup bröstkorg, smal midja och har länge använts i kapplöpning.
berner sennenhund|Den stora schweiziska gårdshunden har lång trefärgad päls med svart grund, vitt bröst och roströda tecken.
basenji|Rasen har sitt ursprung i Centralafrika och är känd för att sällan skälla på vanligt sätt; ljudet beskrivs ofta som jodlande.
agility|I denna hundsport tar sig ekipaget genom en hinderbana med tunnlar, slalom, hopphinder och kontaktfält.
apportering|När en hund hämtar ett föremål eller fällt vilt och lämnar tillbaka det utför den denna handling.
spårarbete|Hunden följer en doftstig på marken med nosen och kan tränas för både tävling, jakt och eftersök.
chipmärkning|Ett litet elektroniskt implantat under huden används för denna permanenta identifiering av hunden.
kennelhosta|Denna smittsamma luftvägssjukdom ger ofta kraftig hosta och kan spridas snabbt där många hundar möts.
merle|Detta pälsmönster ger oregelbundna ljusa och mörka fläckar och förekommer i flera hundraser.
IPO~IGP|Denna internationella brukshundsgren kombinerar spårarbete, lydnad och skyddsarbete i samma provsystem.
whippet|Denna smäckra vinthund liknar en mindre greyhound och är både snabb och ofta lugn inomhus.
lagotto romagnolo|Den italienska rasen har lockig päls och är särskilt känd för att söka efter tryffel.
komondor|Den stora ungerska boskapsvakten känns igen på sin långa vita päls som bildar rep- eller snörliknande tovor.

@1980-talet|Vad är
Rubiks kub|Det färgglada tredimensionella vridpusslet blev en världsomspännande leksaksfeber under decenniets första år.
MTV|Den amerikanska musikkanalen startade 1981 och inledde sina sändningar med videon till ”Video Killed the Radio Star”.
Challengerolyckan|Vid denna amerikanska rymdolycka den 28 januari 1986 bröts en rymdfärja sönder 73 sekunder efter starten och alla sju ombord omkom.
Tjernobylolyckan|En reaktor exploderade 1986 i dåvarande Sovjetunionen och orsakade historiens allvarligaste kärnkraftsolycka.
Pac-Man|I detta arkadspel från 1980 äter en gul rund figur prickar i en labyrint och undviker fyra spöken.
Live Aid|Den globala välgörenhetskonserten 1985 hölls samtidigt i London och Philadelphia för att samla pengar till svältkatastrofen i Etiopien.
Walkman|Sonys bärbara kassettspelare gjorde det möjligt att ta med personlig musik i hörlurar och blev starkt förknippad med årtiondet.
Dallas|Den amerikanska tv-såpan om familjen Ewing gjorde frågan ”Vem sköt J.R.?” till ett internationellt fenomen.
Top Gun|Tom Cruise spelar en ung amerikansk stridspilot i denna film från 1986 med anropsnamnet Maverick.
NES|Nintendos åttabitarskonsol blev ett genombrott i hemmen och förknippas med spel som Super Mario Bros.
Glasnost|Michail Gorbatjovs reformlinje för större öppenhet och offentlig debatt i Sovjetunionen kallades med detta ryska ord.
Perestrojka|Detta ryska begrepp användes för Gorbatjovs försök att omstrukturera Sovjetunionens ekonomi och samhälle.
Game Boy|Nintendos bärbara spelkonsol lanserades 1989 och gjorde utbytbara spelkassetter som Tetris och Super Mario Land till en del av vardagen.
Börskraschen 1987|Den 19 oktober föll aktiemarknader världen över dramatiskt på en dag som blev känd som Black Monday.
CD-skivan|Det digitala optiska musikformatet lanserades kommersiellt i början av årtiondet och började utmana vinyl och kassett.
Falklandskriget|Storbritannien och Argentina stred 1982 om en ögrupp i Sydatlanten efter en argentinsk invasion.
Iran-Contras-affären|En amerikansk politisk skandal gällde hemliga vapenaffärer med Iran och stöd till contras i Nicaragua.
Cabbage Patch Kids|Dessa dockor blev en stor leksakstrend på 1980-talet och såldes med individuella namn och adoptionsbevis.
Commodore 64|Denna hemdator lanserades 1982 och blev en av historiens mest sålda enskilda datormodeller.
Thriller-videon|Michael Jacksons långa musikvideo från 1983 med zombier och dans koreograferad som en skräckfilm blev banbrytande.
Bhopalkatastrofen|En giftig gasläcka från en pesticidfabrik i Indien 1984 dödade tusentals och skadade långt fler.
Hillsboroughkatastrofen|Vid en fotbollsmatch i Sheffield 1989 omkom 97 Liverpool-supportrar efter en dödlig trängselkatastrof.
Reaganomics|Benämningen användes för Ronald Reagans ekonomiska politik med bland annat skattesänkningar och avreglering.
Band Aid|Den brittisk-irländska supergruppen spelade 1984 in ”Do They Know It’s Christmas?” för välgörenhet.
Tiananmenprotesterna|Studentledda demonstrationer i Peking 1989 kulminerade i ett militärt ingripande kring Himmelska fridens torg.

@1990-talet|Vad är
World Wide Web|Tim Berners-Lees system med webbsidor, länkar och webbläsare började spridas från forskningsvärlden till allmänheten under decenniet.
Dollyfåret|År 1996 föddes detta får i Skottland som det första däggdjuret klonat från en vuxen kroppscell.
Nelson Mandelas frigivning|Efter 27 år i fängelse lämnade den sydafrikanske ANC-ledaren Victor Verster-fängelset i februari 1990 inför världens tv-kameror.
PlayStation|Sonys första spelkonsol lanserades i mitten av decenniet och blev en stor konkurrent till Nintendo och Sega.
Spice Girls|Den brittiska popgruppen slog igenom med ”Wannabe” och gjorde uttrycket ”girl power” till en del av tidsandan.
Windows 95|Microsofts operativsystem lanserades med stor uppmärksamhet och introducerade Start-menyn för en masspublik.
Harry Potter och de vises sten|Den första boken om en ung trollkarl på Hogwarts publicerades i Storbritannien 1997.
Super Mario 64|Nintendos spel från 1996 lät den mustaschprydde hjälten röra sig fritt i tredimensionella banor kring prinsessans slott.
Netscape Navigator|Denna webbläsare blev under mitten av årtiondet en ledande väg in på World Wide Web innan konkurrensen hårdnade.
DVD|Det optiska skivformatet introducerades kommersiellt under senare delen av årtiondet och började ersätta VHS för film.
Sovjetunionens upplösning|I december 1991 upphörde supermakten formellt att existera och ersattes av flera självständiga stater.
Osloprocessen|Israel och PLO undertecknade 1993 en principöverenskommelse efter hemliga förhandlingar i Norge.
Schengenkonventionen|Denna tillämpningskonvention undertecknades 1990 för att genomföra avtalet från 1985 om slopade inre gränskontroller. Den började tillämpas 1995.
Doom|Detta förstapersonsspel från 1993 populariserade snabb action i tredimensionella labyrintmiljöer och nätverksspel på PC.
Tamagotchi|Det lilla digitala husdjuret i nyckelringsformat blev en global leksaksfluga under decenniets senare hälft.
Macarena|Den spanska danslåten av Los del Río blev en världshit med en enkel koreografi som imiterades på fester.
Tysklands återförening|Vid denna politiska händelse den 3 oktober 1990 upphörde DDR och dess delstater anslöt sig till Förbundsrepubliken.
Eurodance|Snabba elektroniska beats, rappade verser och stora sångrefränger gjorde denna stil typisk för många europeiska 90-talshits.
Pokémon|Spelserien om att fånga och träna fantasivarelser startade i Japan 1996 och växte snabbt till ett globalt fenomen.
Eurovision i Millstreet|Irland arrangerade 1993 tävlingen i en liten ort i County Cork efter landets seger året före.
NAFTA|Frihandelsavtalet mellan USA, Kanada och Mexiko trädde i kraft 1994 och skapade ett stort nordamerikanskt handelsområde.
Deep Blue|IBMs schackdator besegrade världsmästaren Garry Kasparov i en match 1997 och blev en symbol för datorernas framsteg.
Good Friday-avtalet|Överenskommelsen 1998 blev ett avgörande steg mot fred i Nordirland efter årtionden av konflikt.
Hale-Bopp|Den ovanligt ljusstarka kometen var synlig för blotta ögat under lång tid 1997 och blev en av årtiondets mest uppmärksammade himlahändelser.
millenniebuggen~Y2K-problemet|Detta befarade datorproblem gällde system med tvåsiffriga årtal som vid övergången till år 2000 kunde tolka 00 som 1900.

@2000-talet|Vad är
Wikipedia|Det fria nätuppslagsverket startade 2001 och bygger på att användare tillsammans skriver och redigerar artiklar.
Facebook|Det sociala nätverket grundades 2004 på Harvard och öppnades senare för en mycket bredare publik.
iPhone|Apple lanserade 2007 denna pekskärmsmobil som kombinerade telefon, musikspelare och webbläsning på ett nytt sätt.
YouTube|Videoplattformen startade 2005 och köptes året därpå av Google.
finanskrisen 2008|Kollapsen på bostads- och kreditmarknader ledde till bankproblem, recession och stora statliga räddningsinsatser världen över.
11 september-attackerna|Kapade passagerarflygplan användes 2001 i terrordåd mot bland annat World Trade Center och Pentagon.
iPod|Apples bärbara musikspelare från 2001 marknadsfördes med idén om tusentals låtar i fickan och blev en symbol för digital musik.
Slumdog Millionaire|Danny Boyles film från 2008 följer en ung man från Mumbai som överraskar i den indiska versionen av frågesporten Vem vill bli miljonär.
Skype|Den internetbaserade tjänsten från 2003 gjorde gratis röst- och videosamtal mellan datorer populära.
Nintendo Wii|Spelkonsolen från 2006 använde rörelsekänsliga handkontroller och lockade många ovana spelare.
Google Maps|Karttjänsten lanserades 2005 och gjorde satellitbilder, vägkartor och senare gatubilder lättillgängliga på webben.
Gmail|Google lanserade 2004 denna e-posttjänst med ovanligt stort lagringsutrymme för tiden.
Barack Obamas val 2008|USA valde för första gången en afroamerikansk president i detta historiska presidentval.
SARS-utbrottet|En ny luftvägssjukdom spreds internationellt 2002–2003 och ledde till omfattande smittskyddsåtgärder.
Pluto omklassificeras|Internationella astronomiska unionen beslutade 2006 att den tidigare nionde planeten skulle räknas som dvärgplanet.
Guitar Hero|Musikspelet från 2005 lät spelare trycka färgade knappar på en gitarrformad handkontroll i takt med rocklåtar.
Avatar|James Camerons science fiction-film från 2009 utspelar sig på månen Pandora och blev en enorm biosuccé.
Twitter|Mikrobloggtjänsten startade 2006 och byggde från början på mycket korta textinlägg kallade tweets.
Google Street View|Denna kartfunktion lanserades 2007 och lät användare se fotograferade gatuvyer direkt i webbläsaren.
Large Hadron Collider|Den enorma partikelacceleratorn vid CERN skickade 2008 protonstrålar runt en 27 kilometer lång tunnel nära Genève.
Human Genome Project~HGP~humangenomprojektet|Detta internationella forskningsprojekt kartlade människans arvsmassa och avslutades 2003. Referenssekvensen täckte då ungefär 92 procent av genomet.
Concordes sista flygning|Det överljudssnabba passagerarflygplanet togs ur reguljär trafik 2003 efter nästan tre decennier i tjänst.
Orange Revolution|Massprotester i Ukraina 2004 följde på ett omstritt presidentval och ledde till ett nytt val.
Second Life|Den virtuella världen från Linden Lab fick stor uppmärksamhet när användare skapade avatarer, byggde miljöer och handlade digitalt.
Blu-ray|Det högupplösta optiska skivformatet vann formatkriget mot HD DVD mot slutet av decenniet.

@2010-talet|Vad är
Instagram|Bildappen lanserades 2010 och blev känd för kvadratiska fotografier, filter och senare Stories.
Brexitomröstningen|Storbritannien röstade 2016 för att lämna Europeiska unionen i en folkomröstning med knapp majoritet.
WhatsApp|Meddelandeappen blev under årtiondet ett av världens största sätt att skicka text, bilder och röstsamtal via internet.
Avengers: Endgame|Marvelfilmen från 2019 avslutade en lång berättelse om kampen mot Thanos och blev en av historiens största biosuccéer.
Fridays for Future|Denna internationella klimatrörelse växte fram ur Greta Thunbergs protest utanför riksdagen 2018. Efter tre veckors daglig skolstrejk fortsatte protesterna på fredagar.
Fukushimaolyckan|En jordbävning och tsunami i Japan 2011 slog ut kylsystem vid ett kärnkraftverk och ledde till härdsmältor i flera reaktorer.
Gangnam Style|Psys sydkoreanska låt och musikvideo från 2012 blev ett globalt internetfenomen med en karaktäristisk hästdans.
House of Cards|Denna Netflixserie från 2013 följer den makthungrige politikern Frank Underwood i Washington och bygger på en brittisk förlaga.
Tesla Model 3|Den eldrivna sedanmodellen började levereras 2017 och bidrog till att göra långräckviddselbilar mer massmarknadsinriktade.
selfiesticken|Detta enkla tillbehör för mobilkameror blev en symbol för turistfotografering och sociala medier under mitten av årtiondet.
Parisavtalet|Nästan världens alla länder enades 2015 om ett globalt ramverk för att begränsa klimatförändringen.
Curiosity|NASA:s stora rover landade på Mars 2012 och började undersöka Gale-kratern och planetens geologi.
K-pop|Musikexport från Sydkorea blev ett globalt fenomen med grupper som BTS och Blackpink under årtiondet.
TikTok|Den kortvideoapp som växte fram internationellt från 2017 blev särskilt populär med musik, dans och snabba klipp.
MeToo|Hashtaggen fick global spridning 2017 när människor berättade om sexuella trakasserier och övergrepp.
Rosetta och Philae|ESA:s rymdprojekt nådde en komet 2014 och lyckades sätta en liten landare på dess yta.
Fidget spinner|Den lilla roterande leksaken blev en kort men intensiv trend under 2017.
Panamadokumenten|En massiv läcka 2016 avslöjade hur företag och förmögna personer världen över använde offshorebolag via en advokatbyrå i Panama.
The Dress|Ett viralt fotografi från 2015 skapade enorm diskussion om huruvida ett plagg såg blåsvart eller vitguld ut.
Ice Bucket Challenge|Människor hällde isvatten över sig själva 2014 för att sprida uppmärksamhet och samla pengar till ALS-forskning.
Cambridge Analytica-skandalen|2018 avslöjades hur data från miljontals Facebookanvändare hade använts i politisk profilering utan tydligt samtycke.
Falcon Heavy-premiären|SpaceX:s stora raket gjorde sin första flygning 2018 med en röd Tesla Roadster som demonstrationslast.
handelskriget USA–Kina|Från 2018 införde de två stormakterna omfattande tullar på varandras varor i en eskalerande ekonomisk konflikt.
Notre-Dame-branden|Den världsberömda katedralen i Paris skadades svårt av en brand i april 2019 och spiran kollapsade.
Vine|Den kortvideoapp som lät användare publicera sexsekundersklipp blev inflytelserik innan tjänsten lades ned 2017.

@USA|Vad är
Smithsonian Institution|Det stora nätverket av museer och forskningsinstitutioner i Washington grundades genom en donation från en brittisk vetenskapsman.
Vita huset|USA:s president har sin officiella bostad och huvudsakliga arbetsplats i denna byggnad på Pennsylvania Avenue i Washington.
