@Länder och huvudstäder|Vad är
Gränna|Polkagrisar och färjan till Visingsö lockar besökare. Denna ort ligger vid Vättern.
Trollhättan|Slussar och vattenfall delar plats med svensk filmproduktion. Denna ort ligger vid Göta älv.
Vadstena|Heliga Birgittas klostertradition och ett vallgravsslott finns här. Denna ort ligger vid Vätterns östra strand.
Tällberg|Denna dalaby förknippas med trähotell och utsikt över sjön. Denna ort ligger vid Siljan.
Marstrand|Carlstens fästning vakar över segelbåtarna. Denna ort ligger på Bohuskusten.
Eksjö|Välbevarad gammal träbebyggelse är ett av platsens tydligaste kännetecken. Denna ort ligger i Småland.
Jokkmokk|Den årliga vintermarknaden har långa samiska traditioner. Denna ort ligger strax norr om polcirkeln.

@Europas geografi|Vad är
Sverige|Blågult är flaggans färger och allemansrätten är välkänd. Detta land har både skärgårdar och fjäll.
Norge|Djupa fjordar och berg präglar landskapet väster om Sverige. Detta land har en lång Atlantkust.
Finland|Bastu och tusentals sjöar är två välkända kännetecken. Detta land ligger öster om Sverige.
Danmark|Legoland ligger i Billund. Detta land omfattar Jylland och många öar.
Storbritannien~Förenade kungariket~UK|Vänstertrafik och pund förenar riksdelarna. Detta land omfattar England, Skottland, Wales och Nordirland.
Frankrike|Normandie och Provence är två av dess välkända områden. Detta land sträcker sig från Atlantkusten till Alperna.
Spanien|Både Andalusien och Katalonien ligger här. Detta land upptar större delen av Iberiska halvön.
Italien|Sicilien och Sardinien är landets två största öar. Detta land liknar en stövel på kartan.
Tyskland|Bayern ligger i söder och Rhen flyter genom västra delen. Detta land gränsar till nio länder.
Grekland|Peloponnesos skjuter ut i Medelhavet. Detta land har öar som Rhodos och Kreta.
Portugal|Madeira och Azorerna tillhör också landet. Detta land har Atlantkust väster om Spanien.
Nederländerna~Holland|Vallar och polderområden skyddar jordbruk och städer. Detta land har mycket mark nära eller under havsnivån.
Schweiz|Alperna och banker är välkända, men landet är inte EU-medlem. Detta land har fyra nationella språk.
Österrike|Tyrolens skidorter och floden Donau finns inom dess gränser. Detta land saknar kust.
Polen|Wisła är landets längsta flod och Kraków var tidigare kungastad. Detta land ligger söder om Östersjön.
Belgien|Nederländska och franska är två av dess officiella språk. Detta land rymmer Flandern och Vallonien.
Irland|Shamrocken, en treklöver, är en nationalsymbol. Detta land upptar större delen av en ö väster om Storbritannien.
Island|Gejsrar, lavafält och glaciärer präglar ön. Detta land ligger på den mittatlantiska ryggen.
Kroatien|Dubrovnik och Split är två av dess turiststäder. Detta land har en lång adriatisk kust.
Ungern|Balatonsjön är ett populärt semestermål. Detta land ligger till stor del på en slätt.
Slovenien|Bledsjöns lilla kyrkö är ett välkänt motiv. Detta land har en kort kust mot Adriatiska havet.
Slovakien|Höga Tatra ligger vid gränsen mot Polen. Detta land blev självständigt 1993 när en federation delades fredligt.
Rumänien|Transsylvanien ligger innanför Karpaternas båge. Detta land rymmer större delen av Donaudeltat.
Bulgarien|Rosodling och bergskedjan Balkan hör till landets kännetecken. Detta land har Svartahavskust.
Albanien|En svart dubbelörn på röd botten är en stark nationell symbol. Detta land ligger vid Adriatiska och Joniska haven.

@Världens städer|Vad är
New York|Manhattan och Frihetsgudinnan hör till dess mest kända motiv. Denna stad ligger vid Hudsonflodens mynning.
Los Angeles|Hollywoodskylten vakar över filmindustrins hemstad. Denna stad ligger i södra Kalifornien.
Sydney|Operahusets vita tak liknar segel. Denna stad ligger vid en stor naturhamn i Australien.
Dubai|Skyskrapan Burj Khalifa reser sig här. Denna stad ligger i Förenade arabemiraten.
Rio de Janeiro|En stor Kristusstaty vakar över Copacabana. Denna stad ligger vid Brasiliens Atlantkust.
Barcelona|Gaudís byggnader och promenadstråket La Rambla lockar besökare. Denna stad ligger i Katalonien.
Venedig|Gondoler trafikerar kanaler mellan öarna. Denna stad ligger i en lagun i nordöstra Italien.
Las Vegas|Kasinon och ljusskyltar kantar den berömda Strip. Denna stad ligger i Nevadas öken.
San Francisco|Golden Gate-bron och de branta gatornas kabelspårvagnar är kännetecken. Denna stad ligger vid en vik i Kalifornien.
Amsterdam|Kanaler, smala gavelhus och cyklar präglar staden. Denna stad ligger i Nederländerna.
Istanbul~Konstantinopel~Byzantion|Både det bysantinska och det osmanska riket hade här ett viktigt centrum. Denna stad ligger på båda sidor om Bosporen.
Hongkong|Den tidigare brittiska kolonin har tät skyskrapsbebyggelse kring Victoria Harbour. Denna stad ligger vid Kinas sydkust.
München~Munchen|Oktoberfest hålls här på Theresienwiese. Denna stad ligger i Bayern.
Liverpool|The Beatles växte fram i denna engelska hamnstad. Denna stad ligger vid floden Mersey.
Florens~Firenze|Renässanskonst och bron Ponte Vecchio lockar besökare. Denna stad ligger i Toscana.
Shanghai|Pudongs skyskrapor blickar över vattnet mot The Bund. Denna stad ligger nära Yangtzeflodens mynning.
Mumbai~Bombay|Bollywood är starkt förknippat med denna mångmiljonstad. Denna stad ligger på Indiens västkust.
Marrakech|Torget Jemaa el-Fna fylls av matstånd om kvällarna. Denna stad ligger i Marocko vid Atlasbergens fot.
Sankt Petersburg~Leningrad|Eremitaget finns i stadens forna kejserliga palats. Denna stad ligger vid Nevas utlopp.
Neapel~Napoli|Pizzans historia är starkt förknippad med platsen. Denna stad ligger nära Vesuvius.
Kraków~Krakow|Wawelborgen minner om stadens tid som Polens kungliga centrum. Denna stad ligger vid Wisła.
Porto|Lagringshus för ett känt starkvin finns på andra sidan floden. Denna stad ligger vid Douros mynning.
Bilbao|Ett Guggenheimmuseum med böljande titanfasad har blivit stadens symbol. Denna stad ligger i Baskien.
Salzburg|Mozart föddes här och stadens borg syns på långt håll. Denna stad ligger vid Alperna i Österrike.
Rotterdam|En enorm hamn och modern arkitektur präglar staden. Denna stad ligger vid Rhen–Maas-deltat.

@Flaggor|Vad är
Japan|Motivet symboliserar solen över öriket öster om Korea. Detta lands flagga har en röd cirkel på vit botten.
Kanada|Röda sidofält ramar in den vita mitten i detta nordamerikanska lands flagga. Detta lands flagga har ett rött lönnlöv.
USA~Förenta staterna|Stjärnorna representerar delstaterna. Detta lands flagga har stjärnor och tretton ränder.
Brasilien|Inuti syns en blå stjärnhimmel och landets valspråk. Detta lands flagga har en gul romb på grön botten.
Australien|Södra korset lyser över den blå bottnen hos landet med kängurur. Detta lands flagga har Union Jack i hörnet.
Kina|Bottnen är röd i detta östasiatiska lands flagga. Detta lands flagga har en stor och fyra små gula stjärnor.
Turkiet|Territoriet sträcker sig över både Europa och Asien. Detta lands flagga visar en vit halvmåne och stjärna på röd botten.
Indien|Ett blått hjul finns i mitten av detta sydasiatiska lands flagga. Detta lands flagga har saffransfärgat, vitt och grönt.
Sydafrika|Sex färger samsas i flaggan som infördes 1994 efter apartheid. Detta lands flagga har ett grönt Y-format fält.
Mexiko|I mitten sitter en örn med en orm på en kaktus. Detta lands flagga har gröna, vita och röda lodräta fält.
Argentina|Majsolen syns i mitten av detta sydamerikanska lands flagga. Detta lands flagga har ljusblå och vita band.
Jamaica|Gröna och svarta trianglar fyller resten hos reggaens karibiska hemland. Detta lands flagga har ett gult diagonalt kors.
Israel|Två blå band kantar flaggan hos landet där Jerusalem ligger. Detta lands flagga har en blå sexuddig stjärna.
Egypten|En gyllene örn syns i mitten hos landet med pyramiderna vid Giza. Detta lands flagga har röda, vita och svarta band.
Sydkorea|Vit bakgrund omger symbolerna hos grannen söder om Nordkorea. Detta lands flagga har en rödblå cirkel och fyra svarta teckengrupper.
Nepal|Detta Himalayalands flagga är den enda nationsflaggan som inte är fyrsidig. Detta lands flagga består av två sammanfogade vimplar.
Nya Zeeland|De bildar Södra korset bredvid Union Jack hos Australiens östra granne. Detta lands flagga har fyra röda stjärnor med vita kanter.
Vietnam|Hanoi är huvudstad i detta sydostasiatiska land. Detta lands flagga visar en ensam gul femuddig stjärna på rött.
Marocko|Gibraltar sund skiljer territoriet från Spanien. Detta lands flagga har en grön femuddig stjärna på röd botten.
Saudiarabien|Mecka ligger i detta land på Arabiska halvön. Detta lands flagga har vit arabisk skrift och ett svärd på grönt.
Libanon|Röda band ramar in trädet hos landet med Beirut som huvudstad. Detta lands flagga visar en grön ceder i ett vitt mittfält.
Bhutan|Draken pryder flaggan hos ett litet kungarike i Himalaya. Detta lands flagga har en vit drake över gult och orange.
Kenya|Svart, rött och grönt dominerar hos landet med Nairobi som huvudstad. Detta lands flagga visar en sköld och två korsade spjut.
Uruguay|Argentina och Brasilien är de två stora grannländerna. Detta lands flagga har blåvita ränder och en sol i hörnet.
Kuba|Havanna är huvudstad på denna karibiska ö. Detta lands flagga har blåvita ränder och en röd triangel med vit stjärna.

@Landmärken och sevärdheter|Vad är
Eiffeltornet|Detta järntorn byggdes till världsutställningen i Paris 1889 och reser sig över Marsfältet.
Frihetsgudinnan|Med fackla och strålkrona hälsar denna staty i New Yorks hamn besökare välkomna.
Colosseum|På denna väldiga antika arena i Rom uppträdde gladiatorer inför tusentals åskådare.
Kinesiska muren|Detta nät av försvarsverk slingrar sig över berg i norra Kina och byggdes under flera dynastier.
Pyramiderna i Giza|Dessa forntida kungagravar nära Kairo har triangulära sidor och vaktas av den stora sfinxen.
Taj Mahal|Detta vita marmormausoleum i Agra lät Shah Jahan bygga till minne av sin hustru.
Big Ben|Detta smeknamn tillhör egentligen den stora klockan i tornet vid Londons parlamentshus.
Lutande tornet i Pisa|Detta fristående italienska klocktorn har blivit världsberömt för sin tydliga avvikelse från lodlinjen.
Stonehenge|Dessa stora stenblock står i en förhistorisk anläggning på Salisbury Plain i England.
Golden Gate-bron|Denna orangeröda hängbro förbinder San Francisco med Marin County över inloppet till bukten.
Machu Picchu|Denna inkastad ligger högt i Perus berg och nås bland annat via Inkaleden.
Petra|Denna gamla karavanstad i Jordanien har gravfasader uthuggna direkt i rosafärgade klippor.
Burj Khalifa|Denna skyskrapa i Dubai invigdes 2010 och är 828 meter hög.
Akropolis|På denna klipphöjd i Aten står bland annat templet Parthenon ovanför den moderna staden.
Brandenburger Tor|Denna stadsport i Berlin kröns av en fyrspannsvagn och blev en symbol för återföreningen.
Alhambra|Detta palats- och fästningsområde i Granada visar morisk arkitektur med innergårdar och vattenkonst.
Angkor Wat|Detta stora tempelområde i Kambodja har torn som också avbildas på landets flagga.
Chichén Itzá~Chichen Itza|På denna mayaplats i Mexiko står trappyramiden som kallas El Castillo.
Mount Rushmore|I detta berg i South Dakota är fyra amerikanska presidenters ansikten uthuggna.
Tower Bridge|Denna öppningsbara bro över Themsen känns igen på två torn och höga gångbroar mellan dem.
Atomium|Denna byggnad i Bryssel föreställer en kraftigt förstorad järnkristall med nio sammanbundna klot.
Hagia Sofia~Hagia Sophia|Denna kupolbyggnad i Istanbul har genom historien varit kyrka, moské och museum.
Terrakottaarmén|Tusentals soldatfigurer i bränd lera begravdes nära Xi'an för att vakta Kinas förste kejsare.
Moai|Så kallas Påsköns stora stenfigurer med långsträckta ansikten, ofta resta på ceremoniella plattformar.
Pont du Gard|Denna romerska akveduktbro i södra Frankrike har tre våningar av bågar över floden Gardon.

@Hav, sjöar och floder|Vad är
Östersjön|Det bräckta innanhavet omges bland annat av Finland och Polen. Detta vatten ligger öster om Sverige.
Atlanten|Golfströmmen för varmt vatten över dess norra del. Detta vatten skiljer Amerika från Europa och Afrika.
Stilla havet|Det är jordens största ocean. Detta vatten ligger mellan Asien och Amerika.
Medelhavet|Gibraltar sund ger förbindelsen till Atlanten. Detta vatten ligger mellan Europa och Afrika.
Nilen|Flodens årliga översvämningar var avgörande för forntidens jordbruk. Detta vatten flyter genom Egypten.
Amazonas|Ingen annan flod för ut lika mycket vatten i havet. Detta vatten rinner genom Sydamerikas regnskog.
Vänern|Göta älv leder vattnet från landets största sjö mot havet. Detta vatten ligger i sydvästra Sverige.
Vättern|Visingsö ligger i denna långa, djupa svenska sjö. Detta vatten har Jönköping vid södra änden.
Donau|Efter bland annat Wien och Budapest når floden Svarta havet. Detta vatten flyter genom flera europeiska huvudstäder.
Themsen|Parlamentet och Tower Bridge ligger vid dess stränder. Detta vatten rinner genom London.
Rhen|Floden går genom vinområden och mynnar i Nordsjön via Nederländerna. Detta vatten flyter förbi Köln.
Ganges|Floden har en central religiös betydelse inom hinduismen. Detta vatten rinner genom norra Indien och Bangladesh.
Mälaren|Birka och Gripsholms slott finns vid denna sjö. Detta vatten ligger väster om Stockholm.
Svarta havet|Bosporen leder vidare mot Marmarasjön. Detta vatten ligger norr om Turkiet.
Röda havet|Suezkanalen förbinder det med Medelhavet. Detta vatten ligger mellan nordöstra Afrika och Arabiska halvön.
Mississippi|Den stora floden passerar New Orleans innan den når havet. Detta vatten rinner genom USA.
Yangtze~Chang Jiang|Tre raviners damm ligger i Asiens längsta flod. Detta vatten rinner genom Kina.
Bajkalsjön|Det är världens djupaste sjö. Detta vatten ligger i Sibirien.
Titicacasjön|Den stora sjön ligger högt uppe i Anderna. Detta vatten ligger mellan Peru och Bolivia.
Döda havet|Det mycket salta vattnet gör det lätt att flyta. Detta vatten ligger mellan Jordanien och Israel samt Västbanken.
Kaspiska havet|Både Iran och Ryssland har kust vid världens största insjö. Detta vatten saknar naturligt utlopp till oceanerna.
Victoriasjön|Det är Afrikas största sjö till ytan. Detta vatten gränsar till Tanzania, Uganda och Kenya.
Mekong|Floden bildar ett stort delta i södra Vietnam. Detta vatten rinner genom Sydostasien.
Orinoco|En av Sydamerikas stora floder når Atlanten i ett vidsträckt delta. Detta vatten rinner främst genom Venezuela.
Tanganyikasjön|Den långsmala sjön är världens näst djupaste efter Bajkal. Detta vatten ligger i östra Afrika.

@Berg, öknar och vulkaner|Vad är
Mount Everest~Everest|Detta berg på gränsen mellan Nepal och Kina har världens högsta topp över havsytan.
Sahara|Denna väldiga heta öken sträcker sig tvärs över norra Afrika från Atlanten mot Röda havet.
Alperna|Denna europeiska bergskedja lockar skidåkare till bland annat Schweiz och Österrike.
Vesuvius|Denna vulkan nära Neapel begravde Pompeji i ett utbrott år 79.
Kebnekaise|Detta fjällmassiv i Lappland rymmer Sveriges högsta toppar.
Himalaya|I denna asiatiska bergskedja ligger världens högsta berg, längs bland annat Nepal och Bhutan.
Anderna|Denna långa bergskedja följer Sydamerikas västra sida från norr till söder.
Kilimanjaro|Detta fristående vulkanmassiv i Tanzania är Afrikas högsta berg.
Etna|Denna stora aktiva vulkan reser sig på Siciliens östra del.
Fuji~Fujisan|Denna nästan symmetriska vulkankon nära Tokyo är ett av Japans mest avbildade berg.
Mont Blanc|Detta berg vid gränsen mellan Frankrike och Italien är Alpernas högsta.
Klippiga bergen~Rocky Mountains|Denna bergskedja sträcker sig genom västra Kanada och USA, öster om Stillahavskusten.
Gobi|Denna stora öken ligger i Mongoliet och norra Kina och kan bli mycket kall på vintern.
Matterhorn|Detta pyramidformade alpberg vid Zermatt känns igen på sin spetsiga, nästan böjda silhuett.
K2|Detta berg i Karakoram är världens näst högsta och har ett ovanligt kort namn.
Pyrenéerna|Denna bergskedja bildar en naturlig gräns mellan Frankrike och Spanien och rymmer furstendömet Andorra.
Atlasbergen|Denna bergskedja löper genom nordvästra Afrika, bland annat Marocko och Algeriet.
Karpaterna|Denna bergskedja sträcker sig genom bland annat Slovakien och Rumänien och bildar en båge kring Transsylvanien.
Atacama|Denna öken i norra Chile är extremt torr och hyser flera stora astronomiska observatorier.
Aconcagua|Detta berg i Argentina är både Sydamerikas högsta och högst utanför Asien.
Denali~Mount McKinley|Detta berg i Alaska är Nordamerikas högsta och har också burit namn efter en amerikansk president.
Elbrus|Denna slocknade vulkan i Kaukasus räknas vanligen som Europas högsta berg.
Krakatau|Denna indonesiska vulkan blev känd för ett våldsamt utbrott och stora tsunamier 1883.
Namib|Denna kustöken i sydvästra Afrika har höga sanddyner där sanden möter den kalla Benguelaströmmen.
Mauna Loa|Denna väldiga sköldvulkan på Hawaii har ett namn som betyder ungefär långt berg.

@Öar och ögrupper|Vad är
Malta|Den lilla önationen i centrala Medelhavet har Valletta som huvudstad och präglas av en lång historia av sjöfart och befästningar.
Sri Lanka|Önationen strax söder om Indien hette tidigare Ceylon och är känd för teodlingar, forntida städer och tropiska kuster.
Grönland|Denna mycket stora arktiska ö hör till kungariket Danmark och täcks till stor del av inlandsis.
Kreta|På denna stora grekiska ö ligger Heraklion och palatsruinerna i Knossos.
Mallorca|Palma är huvudorten på denna största ö i Balearerna, populär bland svenska semesterresenärer.
Sicilien|Denna italienska ö ligger vid stövelns tå och har Palermo som största stad.
Sardinien|Denna stora italienska ö ligger söder om Korsika och har Cagliari som huvudort.
Korsika|Napoleon föddes på denna franska Medelhavsö där Ajaccio är en av huvudorterna.
Hawaii|Denna amerikanska ögrupp mitt i Stilla havet har Honolulu som delstatshuvudstad.
Bali|Denna indonesiska ö lockar besökare med hinduistiska tempel, risfält och stränder kring Kuta.
Cypern|Nicosia är huvudstad på denna stora ö i östra Medelhavet som är politiskt delad.
Rhodos|Denna grekiska ö nära Turkiet har en medeltida stad och förknippas med en antik koloss.
Teneriffa|Teide reser sig över denna största ö bland Kanarieöarna.
Madagaskar|Denna stora ö utanför sydöstra Afrika är särskilt känd för sina lemurer.
Nya Guinea|Denna ö norr om Australien delas mellan Indonesien och ett land vars namn börjar med Papua.
Svalbard~Spetsbergen ögrupp|Denna norska arktiska ögrupp har Longyearbyen som största samhälle och ett globalt frövalv.
Galápagosöarna~Galapagosöarna|Denna ecuadorianska ögrupp förknippas med Darwin, jättesköldpaddor och ovanligt orädda djur.
Färöarna|Denna självstyrande nordatlantiska ögrupp inom Danmark har Tórshavn som huvudort.
Åland|Denna svenskspråkiga självstyrande ögrupp tillhör Finland och har Mariehamn som huvudort.
Zanzibar|Denna ögrupp utanför Tanzania förknippas med kryddhandel och stadsdelen Stone Town.
Sumatra|På denna stora indonesiska ö lever orangutanger och den kritiskt hotade noshörningen med samma öursprung.
Borneo|Denna stora sydostasiatiska ö delas av Indonesien, Malaysia och Brunei.
Tasmanien|Denna australiska ö söder om fastlandet är känd för sitt rovdjur som kallas djävul.
Azorerna|Denna portugisiska ögrupp ligger mitt i Nordatlanten och består av nio större vulkanöar.
Påskön~Rapa Nui|På denna isolerade chilenska ö i Stilla havet står stora stenfigurer med långa ansikten.

@Berömda resmål|Vad är
Disneyland Paris|Denna nöjesparksanläggning öster om Frankrikes huvudstad öppnade 1992 och har Musse Pigg som välkänd figur.
Grand Canyon|Denna djupa ravin i Arizona har skurits ut av Coloradofloden och visar färgade berglager.
Niagarafallen|Dessa mäktiga vattenfall ligger på gränsen mellan USA och Kanada, nära staden Buffalo.
Liseberg|Denna nöjespark i Göteborg öppnade 1923 och är känd för både bergbanor och gröna kaniner.
Legoland Billund|I denna danska nöjespark finns miniatyrstäder byggda av färgglada plastklossar nära leksaksföretagets hemort.
Yellowstone|Denna amerikanska nationalpark grundades 1872 och har gejsern Old Faithful som känd sevärdhet.
Stora barriärrevet|Detta enorma korallrev utanför nordöstra Australien lockar dykare till ett rikt marint liv.
Serengeti|På denna tanzaniska savann sker stora vandringar av gnuer och zebror, ofta följda av rovdjur.
Maldiverna|Detta örike i Indiska oceanen lockar med låga korallöar, laguner och hotell över vattnet.
Santorini|Denna grekiska ögrupp känns igen på vita hus med blå kupoler längs en vulkankraters branta kant.
Amalfikusten|Denna italienska kuststräcka söder om Neapel har branta klippor och orter som Positano.
Cinque Terre|Fem färgstarka kustbyar i italienska Ligurien binds samman av vandringsleder och järnväg.
Cappadocia~Kappadokien|Detta område i Turkiet är känt för klippformationer, uthuggna bostäder och luftballonger i gryningen.
Krugerparken|I denna stora sydafrikanska nationalpark söker safaribesökare bland annat lejon, elefanter och noshörningar.
Blå lagunen|Detta geotermiska bad på Island är känt för mjölkblått vatten i ett lavalandskap nära Keflavík.
Geysir|Denna isländska varma källa har gett namn åt hela typen av källor som sprutar vatten.
Pamukkale|Vita kalkterrasser fyllda med vatten har gett denna turkiska plats ett namn som betyder bomullsslott.
Plitvicesjöarna|Vattenfall förbinder ett system av turkosa sjöar i denna kroatiska nationalpark.
Antarktis|Kryssningar till denna isiga världsdel går ofta från Ushuaia och lockar med pingviner och isberg.
Transsibiriska järnvägen|Denna långa järnvägsförbindelse går från Moskva genom Sibirien till Vladivostok.
Banff|Denna kanadensiska nationalpark i Klippiga bergen förknippas med Lake Louise och turkosa bergssjöar.
Yosemite|I denna kaliforniska nationalpark finns granitväggarna El Capitan och Half Dome.
Iguazúfallen~Iguazufallen|Dessa vattenfall på gränsen mellan Brasilien och Argentina omfattar den mäktiga Djävulens strupe.
Okavangodeltat|En flod breder här ut sig i Botswanas inland och skapar våtmarker i stället för att nå havet.
Wadi Rum|Detta jordanska ökenlandskap med röda sandstensberg har använts som inspelningsplats för filmer om Mars.
